Local,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface of plot of land,Numbers of facades,Swimming pool,State of building
Tienen,Villa,None,"€415,000",None,3,283m²squaremeters,Yes,Yes,No,No,No,283m²squaremeters,1052m²squaremeters,4,Yes,Good
Mechelen,House,None,"€419,000",None,5,183m²squaremeters,Yes,Yes,No,No,No,183m²squaremeters,101m²squaremeters,None,No,Good
|,Villa,None,"€419,000",None,None,181m²squaremeters,No,Yes,No,No,No,181m²squaremeters,2070m²squaremeters,4,No,Good
|,House,None,Make,None,3,210m²squaremeters,Yes,No,No,Yes,No,210m²squaremeters,359m²squaremeters,3,No,Justrenovated
Antwerp,Mixed-use,None,"€427,000",None,3,400m²squaremeters,Yes,Yes,No,No,No,400m²squaremeters,252m²squaremeters,2,No,Good
Wielsbeke,Villa,None,"€429,000",None,3,164m²squaremeters,Yes,Yes,No,No,Yes,164m²squaremeters,800m²squaremeters,4,Yes,Good
Tremelo,House,None,"€435,000",None,4,197m²squaremeters,Yes,Yes,No,No,Yes,197m²squaremeters,594m²squaremeters,4,No,Good
PETIT-ENGHIEN,Villa,None,"€445,000",None,4,180m²squaremeters,No,No,No,No,No,180m²squaremeters,902m²squaremeters,4,No,None
EVERBEEK,Villa,None,"€465,000",None,3,232m²squaremeters,No,Yes,No,Yes,Yes,232m²squaremeters,1487m²squaremeters,None,No,None
|,Mixed-use,None,"€475,000",None,2,292m²squaremeters,Yes,Yes,No,No,No,292m²squaremeters,235m²squaremeters,2,No,Tobedoneup
Kortrijk,House,None,"€475,000",None,4,320m²squaremeters,Yes,Yes,No,Yes,No,320m²squaremeters,307m²squaremeters,None,No,Good
BORSU,House,None,Make,None,9,380m²squaremeters,Yes,Yes,No,No,No,380m²squaremeters,None,None,No,Good
Oostduinkerke,Villa,None,"€499,000",None,2,164m²squaremeters,Yes,Yes,No,Yes,No,164m²squaremeters,800m²squaremeters,4,No,Good
Mechelen,House,None,"€515,000",None,4,260m²squaremeters,Yes,Yes,No,No,Yes,260m²squaremeters,961m²squaremeters,2,No,Asnew
|,House,None,"€520,000",None,4,180m²squaremeters,Yes,Yes,No,No,No,180m²squaremeters,1277m²squaremeters,4,No,Good
Gent,House,None,"€545,000",None,4,255m²squaremeters,Yes,Yes,No,Yes,No,255m²squaremeters,188m²squaremeters,3,Yes,Good
Kapellen,House,None,"€548,000",None,4,220m²squaremeters,Yes,Yes,No,No,No,220m²squaremeters,489m²squaremeters,None,No,Good
|,House,None,"€550,000",None,5,180m²squaremeters,Yes,Yes,No,No,No,180m²squaremeters,None,None,No,Good
|,House,None,"€550,000",None,3,135m²squaremeters,Yes,Yes,No,No,No,135m²squaremeters,127m²squaremeters,3,No,Good
Wilrijk,Apartment,None,"€565,000",None,4,211m²squaremeters,No,Yes,No,Yes,No,211m²squaremeters,172m²squaremeters,2,No,Good
Tremelo,Villa,None,"€585,000",None,3,266m²squaremeters,Yes,Yes,No,Yes,Yes,266m²squaremeters,1848m²squaremeters,4,Yes,Asnew
|,Apartment,None,"€595,000",None,9,320m²squaremeters,Yes,Yes,No,No,No,320m²squaremeters,89m²squaremeters,2,No,Good
|,Mixed-use,None,"€595,000",None,2,335m²squaremeters,Yes,Yes,No,No,No,335m²squaremeters,220m²squaremeters,2,No,Torenovate
Kruibeke,Villa,None,"€618,000",None,5,450m²squaremeters,Yes,Yes,No,No,No,450m²squaremeters,738m²squaremeters,4,Yes,Good
Ooigem,Villa,None,"€630,000",None,3,245m²squaremeters,Yes,Yes,No,No,Yes,245m²squaremeters,801m²squaremeters,4,Yes,Good
Antwerpen,House,None,"€649,000",None,3,210m²squaremeters,Yes,Yes,No,No,No,210m²squaremeters,271m²squaremeters,1,Yes,Justrenovated
Court-Saint-Étienne,Villa,None,"€680,000",None,4,230m²squaremeters,Yes,Yes,No,No,No,230m²squaremeters,2500m²squaremeters,4,Yes,Good
Meerbeke,Country,None,"€710,000",None,5,835m²squaremeters,Yes,Yes,No,Yes,No,835m²squaremeters,3300m²squaremeters,None,No,Justrenovated
Moorslede,Country,None,"€745,000",None,6,450m²squaremeters,Yes,Yes,No,Yes,No,450m²squaremeters,4656m²squaremeters,4,No,Good
Schaerbeek,Mansion,None,"€750,000",None,6,350m²squaremeters,Yes,No,No,No,No,350m²squaremeters,None,None,No,Tobedoneup
Keerbergen,House,None,"€790,000",None,5,465m²squaremeters,Yes,Yes,No,No,Yes,465m²squaremeters,3494m²squaremeters,4,No,Torenovate
Knokke-Heist,House,None,"€795,000",None,3,160m²squaremeters,Yes,Yes,No,Yes,Yes,160m²squaremeters,None,None,No,Asnew
Antwerp,House,None,"€849,000",None,5,562m²squaremeters,Yes,Yes,No,Yes,No,562m²squaremeters,600m²squaremeters,None,No,Good
|,Mixed-use,None,"€850,000",None,6,430m²squaremeters,Yes,Yes,No,No,No,430m²squaremeters,255m²squaremeters,None,No,Good
Meise,Villa,None,"€885,000",None,5,516m²squaremeters,No,Yes,No,No,No,516m²squaremeters,1780m²squaremeters,4,Yes,None
|,Villa,None,"€895,000",None,4,300m²squaremeters,No,No,No,Yes,Yes,300m²squaremeters,2200m²squaremeters,4,No,Good
Torhout,Exceptional,None,"€950,000",None,None,700m²squaremeters,No,Yes,No,No,No,700m²squaremeters,3587m²squaremeters,4,No,Good
Zottegem,Mansion,None,"€999,500",None,5,350m²squaremeters,Yes,Yes,No,Yes,No,350m²squaremeters,1251m²squaremeters,4,No,None
Overmere,Villa,None,"€1,290,000",None,6,None,Yes,Yes,No,No,Yes,None,1700m²squaremeters,None,No,Asnew
|,Mixed-use,None,"€1,400,000",None,4,666m²squaremeters,No,Yes,No,Yes,Yes,666m²squaremeters,4398m²squaremeters,4,Yes,Good
|,House,None,"€1,600,000",None,4,470m²squaremeters,No,Yes,No,No,No,470m²squaremeters,None,2,Yes,Good
|,House,None,"€1,800,000",None,5,460m²squaremeters,No,Yes,No,No,No,460m²squaremeters,792m²squaremeters,4,Yes,Good
|,House,None,"€2,100,000",None,5,300m²squaremeters,Yes,Yes,No,Yes,No,300m²squaremeters,49745m²squaremeters,4,Yes,Torenovate
|,Villa,None,"€2,350,000",None,5,420m²squaremeters,No,No,No,No,No,420m²squaremeters,1720m²squaremeters,4,No,Asnew
|,Villa,None,"€2,490,000",None,5,550m²squaremeters,No,No,No,Yes,No,550m²squaremeters,3300m²squaremeters,4,No,Asnew
|,House,None,"€2,490,000",None,5,529m²squaremeters,No,Yes,No,No,No,529m²squaremeters,3368m²squaremeters,4,Yes,Asnew
Lier,Villa,None,"€3,150,000",None,4,800m²squaremeters,Yes,Yes,No,Yes,No,800m²squaremeters,6400m²squaremeters,None,Yes,Asnew
|,House,None,"€3,850,000",None,6,500m²squaremeters,Yes,Yes,No,Yes,No,500m²squaremeters,2855m²squaremeters,4,Yes,Tobedoneup
|,Villa,None,"€3,900,000",None,6,580m²squaremeters,No,No,No,Yes,Yes,580m²squaremeters,3500m²squaremeters,4,No,Asnew
|,Villa,None,"€5,200,000",None,6,1000m²squaremeters,No,No,No,Yes,No,1000m²squaremeters,16000m²squaremeters,4,No,Asnew
Herstal,House,None,"€149,000",None,3,90m²squaremeters,Yes,Yes,No,No,No,90m²squaremeters,123m²squaremeters,2,No,Tobedoneup
Wilrijk,House,None,"€245,000",None,2,122m²squaremeters,Yes,Yes,No,No,No,122m²squaremeters,154m²squaremeters,2,No,Good
Hasselt,Bungalow,None,"€299,000",None,2,155m²squaremeters,No,No,No,No,No,155m²squaremeters,975m²squaremeters,None,No,None
GrÃce-Hollogne,House,None,"€160,000",None,3,130m²squaremeters,Yes,No,No,No,No,130m²squaremeters,45m²squaremeters,2,No,Good
Eeklo,House,None,"€214,900",None,3,139m²squaremeters,Yes,Yes,No,No,Yes,139m²squaremeters,87m²squaremeters,2,No,Justrenovated
Ninove,House,None,"€249,000",None,3,163m²squaremeters,Yes,No,No,No,No,163m²squaremeters,100m²squaremeters,2,No,Asnew
Hargimont,House,None,"€279,000",None,2,139m²squaremeters,Yes,Yes,No,No,No,139m²squaremeters,564m²squaremeters,4,No,Good
Halle,House,None,"€309,000",None,3,100m²squaremeters,No,Yes,No,No,No,100m²squaremeters,414m²squaremeters,3,No,None
Schoten,House,None,"€325,000",None,4,279m²squaremeters,Yes,Yes,No,Yes,No,279m²squaremeters,109m²squaremeters,2,No,Good
Beveren,House,None,"€379,000",None,4,190m²squaremeters,Yes,Yes,No,No,No,190m²squaremeters,203m²squaremeters,1,Yes,Asnew
Wondelgem,House,None,"€479,000",None,4,202m²squaremeters,Yes,Yes,No,No,No,202m²squaremeters,248m²squaremeters,3,No,Asnew
Lochristi,House,None,"€595,000",None,4,225m²squaremeters,Yes,Yes,No,Yes,No,225m²squaremeters,519m²squaremeters,3,No,Asnew
Ham-sur-heure-nalinnes,House,None,"€195,000",None,1,92m²squaremeters,Yes,No,No,No,No,92m²squaremeters,38m²squaremeters,3,No,Asnew
Izegem,House,None,"€250,000",None,4,184m²squaremeters,Yes,No,No,No,Yes,184m²squaremeters,164m²squaremeters,None,No,Asnew
Izegem,House,None,"€269,000",None,4,343m²squaremeters,Yes,No,No,No,Yes,343m²squaremeters,151m²squaremeters,None,No,Tobedoneup
Lembeek,House,None,"€349,000",None,3,201m²squaremeters,Yes,Yes,No,No,No,201m²squaremeters,202m²squaremeters,None,No,Asnew
Stekene,Bungalow,None,"€373,000",None,2,185m²squaremeters,Yes,Yes,No,Yes,No,185m²squaremeters,649m²squaremeters,4,Yes,Good
Adinkerke,House,None,"€398,000",None,3,150m²squaremeters,Yes,No,No,No,Yes,150m²squaremeters,360m²squaremeters,None,No,Asnew
Aalst,House,None,"€475,000",None,3,140m²squaremeters,Yes,Yes,No,No,No,140m²squaremeters,None,None,No,Asnew
Ingelmunster,House,None,"€498,000",None,4,157m²squaremeters,Yes,No,No,Yes,Yes,157m²squaremeters,421m²squaremeters,None,No,Asnew
Temse,House,None,"€650,000",None,3,234m²squaremeters,No,No,No,No,No,234m²squaremeters,3775m²squaremeters,None,No,Asnew
Izegem,Villa,None,"€725,000",None,7,436m²squaremeters,Yes,No,No,No,Yes,436m²squaremeters,1980m²squaremeters,None,No,Asnew
Kluisbergen,House,None,"€281,461",None,3,160m²squaremeters,Yes,No,No,No,Yes,160m²squaremeters,510m²squaremeters,4,No,Asnew
Martelange,House,None,"€328,000",None,3,129m²squaremeters,Yes,Yes,No,No,No,129m²squaremeters,325m²squaremeters,3,No,Asnew
Ardooie,House,None,"€330,000",None,3,175m²squaremeters,Yes,No,No,No,Yes,175m²squaremeters,465m²squaremeters,4,No,Asnew
EVERBEEK,House,None,"€339,950",None,3,180m²squaremeters,Yes,Yes,No,No,No,180m²squaremeters,478m²squaremeters,3,No,None
Waregem,House,None,"€361,200",None,3,160m²squaremeters,No,Yes,No,No,No,160m²squaremeters,442m²squaremeters,3,No,None
SCHOONAARDE,House,None,"€362,261",None,4,154m²squaremeters,Yes,Yes,No,Yes,Yes,154m²squaremeters,460m²squaremeters,3,No,None
SCHOONAARDE,House,None,"€362,261",None,4,154m²squaremeters,Yes,Yes,No,Yes,Yes,154m²squaremeters,460m²squaremeters,3,No,None
Sint-Amands,House,None,"€398,500",None,3,162m²squaremeters,Yes,No,No,No,Yes,162m²squaremeters,470m²squaremeters,3,No,Asnew
Sint-Amands,House,None,"€398,500",None,3,162m²squaremeters,Yes,No,No,No,No,162m²squaremeters,432m²squaremeters,3,No,Asnew
Sint-Amands,House,None,"€398,500",None,3,162m²squaremeters,Yes,No,No,No,Yes,162m²squaremeters,432m²squaremeters,3,No,Asnew
Sint-Amands,House,None,"€398,500",None,3,162m²squaremeters,Yes,No,No,No,Yes,162m²squaremeters,470m²squaremeters,3,No,Asnew
|,House,None,"€410,000",None,3,199m²squaremeters,Yes,Yes,No,No,Yes,199m²squaremeters,173m²squaremeters,None,No,None
|,House,None,"€410,000",None,3,199m²squaremeters,Yes,Yes,No,No,Yes,199m²squaremeters,173m²squaremeters,None,No,None
Braine-le-Château,House,None,"€449,000",None,4,165m²squaremeters,Yes,Yes,No,No,No,165m²squaremeters,499m²squaremeters,2,Yes,Asnew
Mechelen,House,None,"€461,200",None,3,208m²squaremeters,Yes,No,No,No,No,208m²squaremeters,749m²squaremeters,3,No,Asnew
Lubbeek,House,None,"€597,500",None,4,198m²squaremeters,Yes,No,No,No,No,198m²squaremeters,1004m²squaremeters,4,No,Asnew
Vise,Apartment,None,Make,None,9,550m²squaremeters,Yes,Yes,No,Yes,No,550m²squaremeters,220m²squaremeters,4,No,Asnew
|,House,None,"€95,000",None,2,167m²squaremeters,Yes,Yes,No,Yes,No,167m²squaremeters,227m²squaremeters,2,No,Tobedoneup
EERNEGEM,House,None,"€139,000",None,2,None,Yes,Yes,No,No,No,None,1010m²squaremeters,None,No,Torenovate
Libramont-Chevigny,House,None,"€212,000",None,4,203m²squaremeters,Yes,Yes,No,No,No,203m²squaremeters,174m²squaremeters,3,No,Good
Chênée,Town-house,None,Make,None,3,110m²squaremeters,Yes,No,No,No,No,110m²squaremeters,246m²squaremeters,2,No,Tobedoneup
Aalst,House,None,"€235,000",None,3,150m²squaremeters,Yes,No,No,Yes,No,150m²squaremeters,84m²squaremeters,2,No,Good
Erembodegem,House,None,"€275,000",None,3,140m²squaremeters,Yes,Yes,No,No,No,140m²squaremeters,167m²squaremeters,2,No,Good
Grimbergen,House,None,"€315,000",None,1,150m²squaremeters,Yes,No,No,Yes,No,150m²squaremeters,338m²squaremeters,4,No,Good
Ninove,House,None,"€319,000",None,6,268m²squaremeters,Yes,Yes,No,No,Yes,268m²squaremeters,281m²squaremeters,3,No,Good
Ottergem,Bungalow,None,"€319,000",None,3,150m²squaremeters,Yes,No,No,Yes,No,150m²squaremeters,819m²squaremeters,4,No,Good
Gent,House,None,"€375,000",None,4,210m²squaremeters,Yes,Yes,No,No,No,210m²squaremeters,250m²squaremeters,None,No,Tobedoneup
|,Mansion,None,"€430,000",None,4,160m²squaremeters,Yes,Yes,No,Yes,Yes,160m²squaremeters,1130m²squaremeters,4,No,Good
Hertsberge,Villa,None,"€950,000",None,4,442m²squaremeters,Yes,Yes,No,No,Yes,442m²squaremeters,3910m²squaremeters,None,No,Asnew
|,New,None,"€323,000",None,None,None,No,No,No,No,No,None,None,None,No,None
|,House,None,"€825,000",None,4,192m²squaremeters,Yes,Yes,No,No,Yes,192m²squaremeters,749m²squaremeters,None,Yes,Good
Ougrée,Mixed-use,None,"€189,000",None,3,105m²squaremeters,Yes,Yes,No,No,No,105m²squaremeters,None,2,Yes,Asnew
Ougrée,House,None,"€189,000",None,3,105m²squaremeters,Yes,Yes,No,No,No,105m²squaremeters,None,2,Yes,Asnew
|,House,None,"€275,000",None,3,130m²squaremeters,Yes,Yes,No,No,No,130m²squaremeters,121m²squaremeters,2,No,None
Gent,House,None,"€325,000",None,5,140m²squaremeters,Yes,No,No,No,No,140m²squaremeters,85m²squaremeters,2,No,Good
Buizingen,Mixed-use,None,"€615,000",None,6,358m²squaremeters,No,Yes,No,No,No,358m²squaremeters,183m²squaremeters,None,No,None
Nieuwpoort,Villa,None,"€690,000",None,3,152m²squaremeters,Yes,Yes,No,No,Yes,152m²squaremeters,966m²squaremeters,4,No,Tobedoneup
|,House,None,"€310,000",None,4,144m²squaremeters,Yes,Yes,No,No,Yes,144m²squaremeters,310m²squaremeters,None,No,Good
|,Villa,None,"€625,000",None,5,169m²squaremeters,Yes,Yes,No,No,No,169m²squaremeters,540m²squaremeters,None,No,Good
|,Villa,None,"€875,000",None,5,290m²squaremeters,Yes,Yes,No,Yes,Yes,290m²squaremeters,800m²squaremeters,None,Yes,Asnew
Bastogne,House,None,Reserve,None,2,90m²squaremeters,Yes,No,No,Yes,No,90m²squaremeters,160m²squaremeters,2,No,None
Tienen,Mixed-use,None,"€185,000",None,3,178m²squaremeters,No,Yes,No,No,No,178m²squaremeters,130m²squaremeters,3,No,Torenovate
Brugge,House,None,"€339,500",None,3,107m²squaremeters,Yes,Yes,No,No,Yes,107m²squaremeters,85m²squaremeters,2,No,Good
Tielt-Winge,House,None,"€359,000",None,3,204m²squaremeters,Yes,Yes,No,No,No,204m²squaremeters,1697m²squaremeters,3,No,Justrenovated
Herve,Villa,None,"€469,000",None,6,270m²squaremeters,Yes,Yes,No,No,No,270m²squaremeters,850m²squaremeters,3,No,Good
Voorde,Bungalow,None,"€315,000",None,3,160m²squaremeters,Yes,No,No,No,No,160m²squaremeters,1126m²squaremeters,4,No,Tobedoneup
|,House,None,"€900,000",None,6,300m²squaremeters,Yes,Yes,No,No,No,300m²squaremeters,None,None,No,None
Zottegem,Villa,None,"€499,000",None,3,267m²squaremeters,Yes,No,No,No,No,267m²squaremeters,1832m²squaremeters,None,No,Tobedoneup
Seraing,House,None,"€249,500",None,3,145m²squaremeters,Yes,Yes,No,No,No,145m²squaremeters,500m²squaremeters,3,No,Good
Geraardsbergen,House,None,"€315,000",None,4,245m²squaremeters,No,No,No,No,No,245m²squaremeters,2716m²squaremeters,None,No,Tobedoneup
Zele,House,None,"€242,500",None,2,150m²squaremeters,Yes,Yes,No,No,No,150m²squaremeters,310m²squaremeters,None,No,Good
EEKLO,House,None,"€298,000",None,3,128m²squaremeters,No,Yes,No,No,No,128m²squaremeters,295m²squaremeters,3,No,Good
Gingelom,House,None,"€299,000",None,4,169m²squaremeters,Yes,Yes,No,No,No,169m²squaremeters,357m²squaremeters,2,No,Good
Châtelet,House,None,"€325,000",None,4,245m²squaremeters,No,Yes,No,Yes,No,245m²squaremeters,591m²squaremeters,3,No,None
Châtelet,House,None,"€325,000",None,4,245m²squaremeters,No,Yes,No,Yes,No,245m²squaremeters,584m²squaremeters,3,No,None
PRESLES,House,None,"€325,000",None,4,245m²squaremeters,No,Yes,No,Yes,No,245m²squaremeters,591m²squaremeters,3,No,None
PRESLES,House,None,"€325,000",None,4,245m²squaremeters,No,Yes,No,Yes,No,245m²squaremeters,584m²squaremeters,3,No,None
VILLERS-POTERIE,House,None,"€325,000",None,4,245m²squaremeters,No,Yes,No,Yes,No,245m²squaremeters,591m²squaremeters,3,No,None
VILLERS-POTERIE,House,None,"€325,000",None,4,245m²squaremeters,No,Yes,No,Yes,No,245m²squaremeters,584m²squaremeters,3,No,None
Wondelgem,House,None,"€479,000",None,3,205m²squaremeters,Yes,Yes,No,No,No,205m²squaremeters,1418m²squaremeters,4,No,Tobedoneup
Brunehaut,House,None,"€750,000",None,4,300m²squaremeters,Yes,No,No,Yes,No,300m²squaremeters,5287m²squaremeters,4,No,Asnew
|,Villa,None,"€2,400,000",None,5,288m²squaremeters,Yes,Yes,No,Yes,Yes,288m²squaremeters,7700m²squaremeters,None,Yes,Good
|,Villa,None,"€75,000",None,3,152m²squaremeters,Yes,Yes,No,Yes,No,152m²squaremeters,602m²squaremeters,4,No,None
|,House,None,"€219,000",None,4,160m²squaremeters,Yes,Yes,No,Yes,Yes,160m²squaremeters,None,3,No,Justrenovated
Aalst,House,None,"€295,000",None,3,150m²squaremeters,Yes,No,No,Yes,No,150m²squaremeters,100m²squaremeters,None,No,Asnew
Wichelen,House,None,"€300,000",None,3,238m²squaremeters,Yes,Yes,No,Yes,No,238m²squaremeters,569m²squaremeters,3,No,None
|,Villa,None,Make,None,4,325m²squaremeters,Yes,Yes,No,No,No,325m²squaremeters,2409m²squaremeters,4,Yes,Good
|,Villa,None,Make,None,4,325m²squaremeters,Yes,Yes,No,No,No,325m²squaremeters,2409m²squaremeters,4,Yes,Good
Lummen,Villa,None,"€600,000",None,4,245m²squaremeters,Yes,Yes,No,No,No,245m²squaremeters,1550m²squaremeters,4,No,Asnew
Bastogne,Villa,None,"€750,000",None,8,None,No,No,No,Yes,No,None,2800m²squaremeters,4,No,None
Zwevegem,Farmhouse,None,"€11,111",None,4,271m²squaremeters,Yes,Yes,No,Yes,No,271m²squaremeters,2035m²squaremeters,None,No,Asnew
Flemalle,House,None,"€50,000",None,2,90m²squaremeters,Yes,No,No,Yes,No,90m²squaremeters,640m²squaremeters,4,No,Asnew
Angleur,House,None,Reserve,None,2,78m²squaremeters,Yes,No,No,No,No,78m²squaremeters,40m²squaremeters,2,No,Torenovate
Angleur,House,None,Reserve,None,2,65m²squaremeters,Yes,No,No,No,No,65m²squaremeters,75m²squaremeters,2,No,Tobedoneup
Hotton,House,None,"€79,000",None,1,94m²squaremeters,Yes,Yes,No,No,No,94m²squaremeters,None,2,No,Good
Angleur,House,None,Reserve,None,5,227m²squaremeters,Yes,No,No,No,No,227m²squaremeters,1290m²squaremeters,4,No,Tobedoneup
Frameries,House,None,Make,None,2,125m²squaremeters,Yes,Yes,No,No,No,125m²squaremeters,125m²squaremeters,2,No,Tobedoneup
|,House,None,Make,None,3,112m²squaremeters,Yes,Yes,No,No,No,112m²squaremeters,85m²squaremeters,2,No,Tobedoneup
Bassilly,House,None,"€90,000",None,2,None,No,Yes,No,No,Yes,None,290m²squaremeters,3,No,Torenovate
|,House,None,"€95,000",None,2,119m²squaremeters,Yes,Yes,No,No,No,119m²squaremeters,170m²squaremeters,2,No,Torenovate
Strépy-Bracquegnies,House,None,Make,None,2,170m²squaremeters,Yes,Yes,No,Yes,No,170m²squaremeters,130m²squaremeters,2,No,Good
Charleroi,House,None,"€99,900",None,3,120m²squaremeters,Yes,Yes,No,No,Yes,120m²squaremeters,240m²squaremeters,None,No,Tobedoneup
Liège,House,None,Make,None,4,109m²squaremeters,Yes,No,No,No,No,109m²squaremeters,60m²squaremeters,3,No,Torenovate
|,House,None,"€100,000",None,2,70m²squaremeters,Yes,Yes,No,Yes,No,70m²squaremeters,65m²squaremeters,2,No,Tobedoneup
Wasmuel,House,None,"€100,000",None,2,120m²squaremeters,Yes,Yes,No,Yes,No,120m²squaremeters,85m²squaremeters,2,No,Good
Tamines,House,None,"€110,000",None,3,151m²squaremeters,Yes,No,No,No,No,151m²squaremeters,281m²squaremeters,2,No,Torenovate
|,House,None,"€110,000",None,2,133m²squaremeters,Yes,Yes,No,No,No,133m²squaremeters,150m²squaremeters,3,No,Torenovate
|,House,None,"€110,000",None,2,87m²squaremeters,Yes,Yes,No,No,No,87m²squaremeters,110m²squaremeters,2,No,Justrenovated
Grivegnée,House,None,Make,None,3,131m²squaremeters,Yes,No,No,No,No,131m²squaremeters,120m²squaremeters,3,No,Torenovate
Montignies-sur-Sambre,House,None,"€115,000",None,2,157m²squaremeters,No,Yes,No,No,No,157m²squaremeters,106m²squaremeters,2,No,None
Loupoigne,House,None,Reserve,None,3,108m²squaremeters,No,No,No,No,No,108m²squaremeters,490m²squaremeters,2,No,Torenovate
On,House,None,"€125,000",None,4,120m²squaremeters,Yes,Yes,No,No,No,120m²squaremeters,184m²squaremeters,3,No,Good
Hornu,House,None,"€129,000",None,3,120m²squaremeters,No,Yes,No,No,No,120m²squaremeters,None,2,No,Good
Verviers,House,None,Make,None,5,150m²squaremeters,Yes,Yes,No,Yes,No,150m²squaremeters,45m²squaremeters,2,No,Tobedoneup
|,House,None,Make,None,2,133m²squaremeters,Yes,Yes,No,No,No,133m²squaremeters,260m²squaremeters,2,No,Good
|,House,None,"€135,000",None,4,300m²squaremeters,Yes,Yes,No,No,No,300m²squaremeters,1070m²squaremeters,4,No,Torenovate
Jumet,House,None,Make,None,2,150m²squaremeters,Yes,Yes,No,No,No,150m²squaremeters,250m²squaremeters,3,No,Torenovate
Lincent,House,None,Make,None,2,75m²squaremeters,Yes,Yes,No,No,No,75m²squaremeters,671m²squaremeters,2,No,Good
|,House,None,"€140,000",None,2,85m²squaremeters,Yes,Yes,No,Yes,No,85m²squaremeters,894m²squaremeters,3,No,Asnew
|,House,None,"€140,000",None,2,136m²squaremeters,Yes,Yes,No,No,No,136m²squaremeters,429m²squaremeters,3,No,Justrenovated
|,House,None,"€140,000",None,3,145m²squaremeters,Yes,Yes,No,No,No,145m²squaremeters,600m²squaremeters,4,No,Torenovate
Pepinster,House,None,"€143,500",None,3,101m²squaremeters,Yes,Yes,No,No,No,101m²squaremeters,233m²squaremeters,3,No,Good
|,House,None,"€145,000",None,3,117m²squaremeters,Yes,Yes,No,Yes,No,117m²squaremeters,160m²squaremeters,3,No,Good
Jupille-sur-Meuse,House,None,"€150,000",None,3,95m²squaremeters,Yes,Yes,No,No,No,95m²squaremeters,57m²squaremeters,2,No,Asnew
|,House,None,Make,None,3,120m²squaremeters,Yes,Yes,No,No,No,120m²squaremeters,219m²squaremeters,3,No,Good
|,House,None,Make,None,3,204m²squaremeters,Yes,Yes,No,No,No,204m²squaremeters,None,2,No,Good
|,House,None,"€150,000",None,2,137m²squaremeters,Yes,Yes,No,Yes,No,137m²squaremeters,350m²squaremeters,3,No,Good
|,House,None,"€150,000",None,3,181m²squaremeters,Yes,Yes,No,Yes,No,181m²squaremeters,190m²squaremeters,3,No,Tobedoneup
Verviers,House,None,"€153,000",None,4,138m²squaremeters,Yes,Yes,No,No,No,138m²squaremeters,176m²squaremeters,3,No,Good
Flémalle,House,None,"€154,000",None,3,104m²squaremeters,Yes,Yes,No,No,No,104m²squaremeters,100m²squaremeters,None,No,Tobedoneup
Heure,House,None,"€159,000",None,4,180m²squaremeters,Yes,Yes,No,No,No,180m²squaremeters,469m²squaremeters,4,No,Torenovate
Seraing,House,None,"€159,500",None,4,175m²squaremeters,Yes,Yes,No,No,No,175m²squaremeters,160m²squaremeters,2,No,Good
Anderlues,House,None,"€160,000",None,2,120m²squaremeters,Yes,Yes,No,No,No,120m²squaremeters,None,4,No,Torenovate
Seraing,House,None,"€165,000",None,3,130m²squaremeters,Yes,Yes,No,No,No,130m²squaremeters,65m²squaremeters,2,No,Good
|,House,None,"€165,000",None,3,271m²squaremeters,Yes,Yes,No,Yes,No,271m²squaremeters,195m²squaremeters,2,No,Good
Petit-Rechain,Apartment,None,"€169,000",None,5,165m²squaremeters,Yes,Yes,No,No,No,165m²squaremeters,250m²squaremeters,2,Yes,Tobedoneup
Namur,House,None,"€175,000",None,3,120m²squaremeters,Yes,Yes,No,No,Yes,120m²squaremeters,213m²squaremeters,3,No,Torenovate
Charleroi,House,None,"€175,000",None,3,None,Yes,Yes,No,No,No,None,218m²squaremeters,3,Yes,Good
|,House,None,"€175,000",None,2,110m²squaremeters,Yes,Yes,No,Yes,No,110m²squaremeters,125m²squaremeters,2,No,Good
Bissegem,House,None,"€175,000",None,3,140m²squaremeters,Yes,No,No,No,No,140m²squaremeters,270m²squaremeters,2,No,Tobedoneup
Waregem,House,None,"€175,000",None,2,None,No,Yes,No,No,No,None,184m²squaremeters,2,No,Torenovate
Oosteeklo,House,None,"€179,000",None,1,100m²squaremeters,Yes,Yes,No,Yes,No,100m²squaremeters,100m²squaremeters,3,No,Justrenovated
Liege,House,None,"€179,900",None,2,90m²squaremeters,Yes,Yes,No,No,No,90m²squaremeters,132m²squaremeters,2,No,Good
|,Apartment,None,"€180,000",None,4,170m²squaremeters,Yes,Yes,No,No,No,170m²squaremeters,99m²squaremeters,2,No,Good
|,House,None,"€180,000",None,4,170m²squaremeters,Yes,Yes,No,No,No,170m²squaremeters,99m²squaremeters,2,No,Good
Havelange,House,None,Reserve,None,3,100m²squaremeters,Yes,No,No,Yes,No,100m²squaremeters,960m²squaremeters,4,No,Good
Mouscron,House,None,"€180,000",None,3,147m²squaremeters,Yes,No,No,Yes,No,147m²squaremeters,190m²squaremeters,2,No,Asnew
Wingene,House,None,"€180,000",None,4,97m²squaremeters,Yes,Yes,No,Yes,No,97m²squaremeters,325m²squaremeters,None,No,Tobedoneup
|,Villa,None,"€185,000",None,2,84m²squaremeters,Yes,Yes,No,No,No,84m²squaremeters,277m²squaremeters,2,No,None
