Local,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface of plot of land,Numbers of facades,Swimming pool,State of building
Liège,House,None,"€230,000",None,3,140m²squaremeters,Yes,Yes,No,No,No,140m²squaremeters,227m²squaremeters,2,No,Good
WINTAM,House,None,"€260,000",None,3,224m²squaremeters,Yes,Yes,No,No,No,224m²squaremeters,245m²squaremeters,3,No,Torenovate
Leuven,House,None,"€595,000",None,3,240m²squaremeters,Yes,No,No,No,No,240m²squaremeters,36m²squaremeters,2,No,Tobedoneup
Ixelles,House,None,"€665,000",None,5,172m²squaremeters,Yes,Yes,No,No,No,172m²squaremeters,100m²squaremeters,2,Yes,Good
Bever,House,None,"€450,000",None,3,215m²squaremeters,Yes,Yes,No,Yes,No,215m²squaremeters,1070m²squaremeters,4,No,Good
POPUELLES,Villa,None,"€495,000",None,3,158m²squaremeters,Yes,Yes,No,Yes,No,158m²squaremeters,998m²squaremeters,4,Yes,Good
Dinant,Villa,None,"€280,000",None,3,110m²squaremeters,Yes,Yes,No,No,No,110m²squaremeters,1144m²squaremeters,4,No,Good
Verlaine,House,None,Make,None,4,150m²squaremeters,Yes,Yes,No,Yes,Yes,150m²squaremeters,532m²squaremeters,3,No,Asnew
Villers-le-Bouillet,House,None,"€310,000",None,3,160m²squaremeters,Yes,Yes,No,Yes,Yes,160m²squaremeters,815m²squaremeters,3,No,Good
Villers-le-Bouillet,House,None,"€310,000",None,3,160m²squaremeters,Yes,Yes,No,Yes,Yes,160m²squaremeters,810m²squaremeters,3,No,Good
Villers-le-Bouillet,House,None,"€310,000",None,3,160m²squaremeters,Yes,Yes,No,Yes,Yes,160m²squaremeters,850m²squaremeters,3,No,Good
Villers-le-Bouillet,House,None,"€315,000",None,3,160m²squaremeters,Yes,Yes,No,Yes,Yes,160m²squaremeters,830m²squaremeters,3,No,Good
Woluwe-Saint-Pierre,Exceptional,None,"€1,650,000",None,5,440m²squaremeters,Yes,Yes,No,No,No,440m²squaremeters,620m²squaremeters,4,Yes,Asnew
Schaerbeek,House,None,"€525,000",None,4,220m²squaremeters,Yes,Yes,No,No,No,220m²squaremeters,189m²squaremeters,2,Yes,Good
Zwalm,House,None,"€380,000",None,4,197m²squaremeters,No,Yes,No,No,No,197m²squaremeters,1840m²squaremeters,3,No,Good
Ronse,House,None,"€145,000",None,3,150m²squaremeters,Yes,Yes,No,No,No,150m²squaremeters,90m²squaremeters,2,Yes,None
Leglise,House,None,"€209,000",None,4,326m²squaremeters,Yes,Yes,No,No,No,326m²squaremeters,3576m²squaremeters,3,No,Torenovate
Zottegem,House,None,"€275,000",None,3,175m²squaremeters,Yes,Yes,No,No,No,175m²squaremeters,323m²squaremeters,2,No,Tobedoneup
Knokke-Heist,House,None,"€1,680,000",None,6,571m²squaremeters,Yes,Yes,No,Yes,No,571m²squaremeters,1609m²squaremeters,4,No,Asnew
Woluwe-Saint-Pierre,House,None,"€699,000",None,3,170m²squaremeters,Yes,Yes,No,Yes,No,170m²squaremeters,322m²squaremeters,2,No,Good
Molenbeek-Saint-Jean,House,None,"€595,000",None,5,250m²squaremeters,Yes,Yes,No,No,No,250m²squaremeters,95m²squaremeters,2,Yes,Good
Laeken,House,None,"€599,000",None,4,163m²squaremeters,Yes,No,No,No,No,163m²squaremeters,439m²squaremeters,3,Yes,Good
Ixelles,House,None,Make,None,4,300m²squaremeters,Yes,Yes,No,No,No,300m²squaremeters,94m²squaremeters,2,Yes,Tobedoneup
Brakel,House,None,"€315,000",None,4,233m²squaremeters,Yes,Yes,No,No,No,233m²squaremeters,1136m²squaremeters,3,No,Torenovate
Antwerp,House,None,"€305,000",None,3,108m²squaremeters,Yes,Yes,No,No,No,108m²squaremeters,120m²squaremeters,2,No,Tobedoneup
Sint-Eloois-Winkel,Mixed-use,None,"€320,000",None,3,209m²squaremeters,Yes,Yes,No,No,No,209m²squaremeters,130m²squaremeters,2,No,Good
OEDELEM,Villa,None,"€450,000",None,3,250m²squaremeters,Yes,Yes,No,Yes,No,250m²squaremeters,829m²squaremeters,4,No,Good
Goesnes,House,None,"€465,000",None,3,186m²squaremeters,Yes,Yes,No,Yes,Yes,186m²squaremeters,1259m²squaremeters,4,No,Asnew
BESELARE,Villa,None,"€499,500",None,3,205m²squaremeters,Yes,Yes,No,Yes,No,205m²squaremeters,1425m²squaremeters,4,No,Good
